epoch,step,train_loss,val_cer,val_loss,val_wer
0,1773,,0.1762680858373642,0.43040892481803894,0.3574356734752655
0,1773,0.4369185268878937,,,
1,3547,,0.16684146225452423,0.4225824475288391,0.34724554419517517
1,3547,0.20872890949249268,,,
2,5321,,0.1327686458826065,0.4407925307750702,0.3197985291481018
2,5321,0.1013076901435852,,,
3,7095,,0.13829012215137482,0.45348262786865234,0.3257330358028412
3,7095,0.04819360375404358,,,
4,8869,,0.11501967906951904,0.47635582089424133,0.2989107072353363
4,8869,0.02928866446018219,,,
5,8870,,0.1372239738702774,0.5637468099594116,0.3140183687210083
